rank,char_trad,char_simp,count
1021,折,,68075
1022,摺,折,68075
1023,派,,67958
1024,余,,67949
1025,餘,余,67949
1026,降,,67850
1027,針,针,67752
1028,檢,检,67727
1029,棄,弃,67546
1030,策,,67546
1031,灣,湾,67466
1032,藏,,67407
1033,攝,摄,67211
1034,避,,67058
1035,慣,惯,66944
1036,園,园,66792
1037,野,,66700
1038,挑,,66394
1039,呵,,66121
1040,絡,络,66097
1041,伙,,65991
1042,夥,伙,65991
1043,媒,,65974
1044,嘴,,65900
1045,培,,65823
1046,臨,临,65700
1047,餐,,65589
1048,哭,,65539
1049,魔,,65435
1050,座,,65188
1051,附,,65169
1052,傻,,65130
1053,守,,65098
1054,宗,,65082
1055,骨,,64933
1056,劉,刘,64776
1057,淘,,64697
1058,弱,,64552
1059,巨,,64260
1060,航,,64223
1061,尊,,64223
1062,抗,,64219
1063,競,竞,64086
1064,毫,,64043
1065,伴,,63768
1066,輪,轮,63715
1067,搭,,63655
1068,虛,虚,63598
1069,距,,63524
1070,掛,挂,63520
1071,威,,63204
1072,射,,63130
1073,割,,63102
1074,救,,63056
1075,著,,62936
1076,康,,62710
1077,隔,,62634
1078,露,,62540
1079,執,执,62493
1080,莫,,62387
1081,您,,62149
1082,困,,62101
1083,睏,困,62101
1084,宿,,62031
1085,審,审,62021
1086,擁,拥,61964
1087,草,,61792
1088,醒,,61785
1089,陳,陈,61745
1090,沉,,61706
1091,譯,译,61670
1092,令,,61654
1093,封,,61496
1094,奧,奥,61484
1095,沙,,61405
1096,績,绩,61389
1097,零,,61370
1098,騙,骗,61370
1099,透,,61208
1100,忽,,61172
1101,售,,61160
1102,抽,,61110
1103,累,,60985
1104,勝,胜,60844
1105,皇,,60833
1106,舒,,60483
1107,季,,60261
1108,敗,败,60133
1109,趕,赶,59907
1110,漂,,59861
1111,冰,,59818
1112,散,,59777
1113,刺,,59701
1114,刀,,59524
1115,蓋,盖,59389
1116,抓,,59286
1117,納,纳,59162
1118,廠,厂,59027
1119,漸,渐,58757
1120,勞,劳,58665
1121,旁,,58630
1122,殘,残,58569
1123,舊,旧,58481
1124,肌,,57816
1125,弄,,57721
1126,堂,,57644
1127,急,,57627
1128,彩,,57617
1129,綵,彩,57617
1130,陰,阴,57587
1131,邏,逻,57498
1132,欲,,57285
1133,慾,欲,57285
1134,掌,,57021
1135,綠,绿,57014
1136,聖,圣,56877
1137,麗,丽,56829
1138,雷,,56639
1139,隱,隐,56635
1140,申,,56181
1141,簽,签,56176
1142,籤,签,56176
1143,胡,,56144
1144,鬍,胡,56144
1145,符,,56042
1146,末,,55505
1147,燒,烧,55480
1148,吹,,55284
1149,呼,,55162
1150,稍,,55159
1151,療,疗,55141
1152,館,馆,54912
1153,狂,,54905
1154,鏈,链,54892
1155,川,,54775
1156,托,,54733
1157,託,托,54733
1158,屏,,54495
1159,貌,,54059
1160,悲,,54025
1161,雪,,53940
1162,孤,,53648
1163,窮,穷,53622
1164,獎,奖,53556
1165,堆,,53516
1166,罪,,53466
1167,碰,,53438
1168,烈,,53377
1169,桌,,53072
1170,租,,52840
1171,休,,52636
1172,童,,52416
1173,症,,52400
